attendance,study_hours,previous_score,assignment_score,assignments_completed,final_score
68.7,5.9,50.2,71.1,6,65.5
97.5,4.8,69.8,68.8,9,78.4
86.6,3.2,88.0,41.5,5,70.1
79.9,6.7,80.3,60.5,9,80.4
57.8,5.8,84.4,62.8,6,61.9
57.8,2.1,76.2,63.9,8,65.6
52.9,7.4,78.1,74.8,10,72.6
93.3,6.8,86.7,72.0,4,75.9
80.1,7.6,53.7,76.5,10,75.1
85.4,6.1,66.9,85.9,10,83.2
51.0,5.3,52.2,88.8,8,62.7
98.5,3.9,94.3,83.1,9,90.2
91.6,7.5,91.9,97.3,4,93.9
60.6,7.1,42.2,41.1,3,55.1
59.1,1.3,78.8,51.7,7,65.2
59.2,1.2,90.9,40.5,8,65.1
65.2,3.6,49.9,78.8,6,60.0
76.2,6.7,71.2,93.9,3,70.4
71.6,7.9,90.4,54.6,7,77.2
64.6,2.1,41.9,95.6,6,55.3
80.6,5.2,78.4,43.6,10,78.5
57.0,3.7,56.4,96.1,5,62.2
64.6,7.8,90.8,61.1,6,77.0
68.3,6.9,93.4,46.1,4,74.2
72.8,6.9,91.9,69.2,4,77.8
89.3,4.3,66.1,55.4,5,72.0
60.0,3.9,87.4,57.1,3,63.4
75.7,2.9,86.5,58.4,7,71.4
79.6,1.4,57.6,88.2,6,62.3
52.3,7.1,85.6,72.3,4,67.3
80.4,6.7,42.0,58.7,3,57.1
58.5,8.0,72.8,76.6,5,71.3
53.3,8.0,52.7,83.0,9,66.2
97.4,4.9,46.6,56.4,8,63.6
98.3,6.4,44.2,64.8,9,65.6
90.4,7.6,78.3,47.3,9,77.8
65.2,6.9,58.7,50.9,4,56.1
54.9,2.7,79.9,80.9,10,72.2
84.2,4.2,43.6,50.9,10,61.0
72.0,1.9,57.3,71.5,5,54.9
56.1,7.7,69.7,82.5,6,70.3
74.8,5.2,83.5,46.4,10,70.8
51.7,2.6,57.5,74.0,9,59.9
95.5,5.7,74.4,55.4,10,81.6
62.9,5.3,88.7,97.8,9,75.9
83.1,3.5,73.9,69.0,7,71.6
65.6,1.8,52.8,88.4,4,58.0
76.0,5.7,41.3,73.0,4,61.8
77.3,4.6,87.9,42.6,6,71.0
59.2,6.4,41.2,78.0,10,60.2
98.5,4.6,88.1,97.1,10,88.9
88.8,7.0,69.1,76.1,8,76.1
97.0,4.9,91.6,89.2,3,87.1
94.7,4.9,83.9,93.1,7,84.7
79.9,7.1,94.9,53.7,4,83.5
96.1,3.8,59.3,52.7,7,66.5
54.4,1.9,82.2,76.7,4,61.7
